Organisation name,Type of organisation,Organisational body,Position,Title,First name,Last name(s),Gender
Abha,Organizzazione sportiva,Consiglio di amministrazione,Chairman,Dr,Ahmed,Al-Hadithi,Male
Al-Ahli,Organizzazione sportiva,Consiglio di amministrazione,Chairman,,Walid,Moaz,Male
Al-Akhdoud,Organizzazione sportiva,Consiglio di amministrazione,Chairman,,Sami,Haddish Al-Fadel,Male
Al-Ettifaq,Organizzazione sportiva,Consiglio di amministrazione,Chairman,,Khaled,Abdullah Al-Dabal,Male
Al-Ettifaq,Organizzazione sportiva,Consiglio di amministrazione,Deputy chairman,,Hatem,Hassan Al-Mashal,Male
Al-Ettifaq,Organizzazione sportiva,Consiglio di amministrazione,Member,,Iyad,bin Abdullah Al-Baqshi,Male
Al-Ettifaq,Organizzazione sportiva,Consiglio di amministrazione,Member,,Omar,bin Abdullah Bakhshwin,Male
Al-Ettifaq,Organizzazione sportiva,Consiglio di amministrazione,Member,,Waleed,bin Amer Al-Rumaih,Male
Al-Ettifaq,Organizzazione sportiva,Consiglio di amministrazione,Member,,Ibrahim,bin Jassim Al-Salem,Male
Al-Ettifaq,Organizzazione sportiva,Consiglio di amministrazione,Member,,Moaz,Majed Al-Ohali,Male
Al-Ettifaq,Organizzazione sportiva,Consiglio di amministrazione,Member,,Abdul,Rahman Abdul Latif Al-Moaibed,Male
Al-Ettifaq,Organizzazione sportiva,Consiglio di amministrazione,Member,,Muhammad,Saad Al-Qahtani,Male
Al-Feiha,Organizzazione sportiva,Consiglio di amministrazione,Chairman,Dr,Tawfiq,bin Saleh Al-Mudahim,Male
Al-Hazm,Organizzazione sportiva,Consiglio di amministrazione,President,,Salman,bin Fahd bin Hamad Al-Malik,Male
Al-Hilal,Organizzazione sportiva,Consiglio di amministrazione,Chairman,,Fahad,bin Saad bin Nafel,Male
Al-Hilal,Organizzazione sportiva,Consiglio di amministrazione,Member,Dr,Fahad,bin Ahmed Abuhaimad,Male
Al-Hilal,Organizzazione sportiva,Consiglio di amministrazione,Member,,Abdulmajid,bin Ahmed Al-Haqbani,Male
Al-Hilal,Organizzazione sportiva,Consiglio di amministrazione,Member,,Fahad,bin Ali Al-Haqbani,Male
Al-Hilal,Organizzazione sportiva,Consiglio di amministrazione,Member,,Abdullah,bin Fahad Al-Abduljabbar,Male
Al-Hilal,Organizzazione sportiva,Consiglio di amministrazione,Member,,Sulaiman,bin Nasser Al-Hatlan,Male
Alinma Bank,Azienda,Consiglio di amministrazione,Chairman,HE,Abdulmalik,bin Abdullah Al-Hogail,Male
Alinma Bank,Azienda,Consiglio di amministrazione,Deputy chairman,HE Professor,Saad,bin Abdulaziz Al-Kroud,Male
Alinma Bank,Azienda,Consiglio di amministrazione,Member,HE Professor,Muhammad,bin Abdul Rahman bin Dayel,Male
Alinma Bank,Azienda,Consiglio di amministrazione,Member,HE Professor,Abdullah,bin Abdulaziz Al-Rumaizan,Male
Alinma Bank,Azienda,Consiglio di amministrazione,Member,HE Professor,Ahmed,bin Abdullah Al-Sheikh,Male
Alinma Bank,Azienda,Consiglio di amministrazione,Member,HE Professor,Anis,bin Ahmed Moumna,Male
